Year,Value
-Nkzk0eCJBF2bJgUU0vt,"{'2011': 236.9, '2012': 283.9, '2013': 271.1, '2014': 291.1, '2015': 305.8, '2016': 306.9, '2017': 321.8, '2018': 299.0, '2019': 297.1, '2020': 323.4, '2020 count': 18861.0, 'Location': 'Wisconsin\u202f*'}"
-Nkzk0gcqa-yJcvXuTLE,"{'2011': 307.4, '2012': 301.5, '2013': 275.7, '2014': 285.7, '2015': 291.9, '2016': 307.7, '2017': 296.8, '2018': 294.8, '2019': 296.0, '2020': 308.8, '2020 count': 36104.0, 'Location': 'Ohio\u202f*'}"
-Nkzk0ipy6zTzgRxg3S1,"{'2011': 428.4, '2012': 407.0, '2013': 404.0, '2014': 395.1, '2015': 390.9, '2016': 380.7, '2017': 354.3, '2018': 340.3, '2019': 328.7, '2020': 308.8, '2020 count': 21288.0, 'Location': 'Massachusetts\u202f*'}"
-Nkzk0krbjVTHrkIB33o,"{'2011': 255.6, '2012': 265.6, '2013': 260.9, '2014': 272.8, '2015': 286.1, '2016': 292.9, '2017': 287.5, '2018': 263.7, '2019': 287.6, '2020': 303.5, '2020 count': 9601.0, 'Location': 'Iowa\u202f*'}"
-Nkzk0meBVmqifTSkcCK,"{'2011': 294.6, '2012': 298.1, '2013': 277.9, '2014': 285.8, '2015': 284.4, '2016': 303.5, '2017': 302.8, '2018': 315.3, '2019': 303.3, '2020': 293.7, '2020 count': 22596.0, 'Location': 'Washington\u202f*'}"
-Nkzk0oXFOohNoOToRa4,"{'2011': 247.6, '2012': 247.1, '2013': 242.9, '2014': 259.2, '2015': 259.8, '2016': 268.8, '2017': 280.4, '2018': 290.4, '2019': 293.7, '2020': 291.9, '2020 count': 12380.0, 'Location': 'Oregon\u202f*'}"
-Nkzk0qOxFlJ3f41ovzP,"{'2011': 269.8, '2012': 260.1, '2013': 267.4, '2014': 278.3, '2015': 275.8, '2016': 281.7, '2017': 256.2, '2018': 266.0, '2019': 261.2, '2020': 291.2, '2020 count': 8638.0, 'Location': 'Mississippi\u202f*'}"
-Nkzk0sJKLlVTUnZU7Z4,"{'2011': 221.2, '2012': 230.9, '2013': 223.2, '2014': 229.1, '2015': 242.6, '2016': 241.9, '2017': 239.7, '2018': 221.2, '2019': 237.5, '2020': 277.5, '2020 count': 15698.0, 'Location': 'Minnesota\u202f*'}"
-Nkzk0uF3lWiPMmzvDUw,"{'2011': 195.0, '2012': 208.0, '2013': 209.2, '2014': 219.5, '2015': 236.0, '2016': 243.3, '2017': 242.2, '2018': 239.4, '2019': 236.9, '2020': 260.7, '2020 count': 8471.0, 'Location': 'Utah\u202f*'}"
-Nkzk0wNJmp2_1_ZqmXn,"{'2011': 238.2, '2012': 224.9, '2013': 198.8, '2014': 215.2, '2015': 218.7, '2016': 235.6, '2017': 231.1, '2018': 217.9, '2019': 220.7, '2020': 259.1, '2020 count': 11600.0, 'Location': 'Kentucky\u202f*'}"
-Nkzk0yH7u3J3w9ApzNg,"{'2011': 287.2, '2012': 243.0, '2013': 245.3, '2014': 236.7, '2015': 293.4, '2016': 241.6, '2017': 251.2, '2018': 255.0, '2019': 264.5, '2020': 254.2, '2020 count': 3576.0, 'Location': 'Hawaii\u202f*'}"
-Nkzk1-EoIMegnrLHMan,"{'2011': 200.9, '2012': 209.8, '2013': 204.7, '2014': 210.4, '2015': 215.6, '2016': 230.7, '2017': 239.2, '2018': 239.7, '2019': 232.6, '2020': 242.6, '2020 count': 4432.0, 'Location': 'Idaho\u202f*'}"
-Nkzk11B7s1yPkrs7olj,"{'2011': 219.3, '2012': 201.3, '2013': 197.7, '2014': 195.4, '2015': 222.1, '2016': 244.7, '2017': 234.6, '2018': 213.8, '2019': 215.0, '2020': 234.2, '2020 count': 1364.0, 'Location': 'Wyoming\u202f*'}"
-Nkzk133Rrb8T7yfz84Q,"{'2011': 247.5, '2012': 253.0, '2013': 244.6, '2014': 219.9, '2015': 242.5, '2016': 239.1, '2017': 234.2, '2018': 219.8, '2019': 222.7, '2020': 230.8, '2020 count': 2440.0, 'Location': 'Rhode Island\u202f*'}"
-Nkzk14vTFJsKo0JgRcS,"{'2011': 196.7, '2012': 191.5, '2013': 187.9, '2014': 198.4, '2015': 195.6, '2016': 219.8, '2017': 210.4, '2018': 204.2, '2019': 209.4, '2020': 208.0, '2020 count': 17925.0, 'Location': 'Virginia\u202f*'}"
-Nkzk16tZRIw6T1a2_Mv,"{'2011': 308.4, '2012': 290.1, '2013': 285.6, '2014': 260.9, '2015': 255.4, '2016': 243.5, '2017': 231.8, '2018': 208.6, '2019': 206.7, '2020': 195.4, '2020 count': 17353.0, 'Location': 'New Jersey\u202f*'}"
-Nkzk18p5rKqfcwgCJE5,"{'2011': 272.8, '2012': 283.5, '2013': 254.5, '2014': 238.5, '2015': 218.5, '2016': 227.7, '2017': 229.2, '2018': 209.6, '2019': 184.6, '2020': 181.6, '2020 count': 6459.0, 'Location': 'Connecticut\u202f*'}"
-Nkzk1AfZzuibCa-8gqR,"{'2011': 135.2, '2012': 142.3, '2013': 114.9, '2014': 102.6, '2015': 118.0, '2016': 136.5, '2017': 173.3, '2018': 185.0, '2019': 207.2, '2020': 173.4, '2020 count': 1081.0, 'Location': 'Vermont\u202f*'}"
-Nkzk1CXLcA0syw1QTXB,"{'2011': 284.4, '2012': 275.0, '2013': 257.8, '2014': 237.2, '2015': 219.6, '2016': 224.4, '2017': 232.6, '2018': 200.9, '2019': 202.9, '2020': 164.5, '2020 count': 5196.0, 'Location': 'Puerto Rico\u202f*'}"
-Nkzk1EO_w_8eUC1NRON,"{'2011': 188.0, '2012': 215.0, '2013': 199.6, '2014': 197.7, '2015': 199.3, '2016': 199.8, '2017': 195.7, '2018': 177.6, '2019': 158.1, '2020': 146.4, '2020 count': 2000.0, 'Location': 'New Hampshire'}"
-Nkzk1GEgLaFYkPIru4C,"{'2011': 123.2, '2012': 122.4, '2013': 121.6, '2014': 127.6, '2015': 130.1, '2016': 124.0, '2017': 120.6, '2018': 112.0, '2019': 116.1, '2020': 108.6, '2020 count': 1466.0, 'Location': 'Maine'}"
-Nkzk1IJ9hOgGVFycXxi,"{'2011': 386.3, '2012': 387.8, '2013': 367.9, '2014': 372.0, '2015': 383.2, '2016': 397.5, '2017': 394.0, '2018': 383.4, '2019': 379.4, '2020': 398.5, '2020 count': 1313105.0, 'Location': 'United States\u202f*'}"
2020 count,
